success,guesses,bombs,confidence,runtime
0,6,99,6,2.058465003967285
0,5,99,4,1.6993863582611084
0,13,99,4,4.1169273853302
0,4,99,5,1.4003148078918457
0,2,99,6,0.7971799373626709
0,5,99,3,1.701383113861084
0,3,99,6,1.098247766494751
0,1,99,6,0.5001118183135986
0,1,99,5,0.49811220169067383
0,7,99,4,2.3005104064941406
0,1,99,5,0.499112606048584
0,4,99,5,1.39931058883667
0,1,99,6,0.4991128444671631
0,14,99,4,4.398991346359253
0,6,99,4,1.999448537826538
0,1,99,6,0.5001044273376465
0,1,99,6,0.5011131763458252
0,5,99,5,1.69838285446167
0,18,99,4,5.615266561508179
0,11,99,3,3.4987809658050537
0,5,99,4,1.7003841400146484
0,7,99,5,2.300518751144409
0,4,99,5,1.3983154296875
0,4,99,4,1.3993077278137207
0,8,99,4,2.59958553314209
0,4,99,5,1.400315523147583
0,5,99,4,1.714379072189331
0,1,99,3,0.5001120567321777
0,2,99,6,0.7991812229156494
0,3,99,6,1.0992398262023926
0,8,99,3,2.5995781421661377
0,5,99,5,1.6993756294250488
0,4,99,4,1.3993160724639893
0,2,99,5,0.8331797122955322
0,1,99,4,0.5331203937530518
0,13,99,5,4.09892463684082
0,3,99,5,1.1012401580810547
0,7,99,5,2.2985103130340576
0,2,99,5,0.8001809120178223
0,1,99,5,0.4991128444671631
0,9,99,5,2.9006547927856445
0,2,99,5,0.7991805076599121
0,1,99,7,0.5011131763458252
0,5,99,4,1.6983749866485596
0,2,99,4,0.8001804351806641
0,6,99,4,1.9984514713287354
0,3,99,5,1.1002397537231445
0,6,99,4,1.997457504272461
0,2,99,4,0.8011722564697266
0,2,99,6,0.8001716136932373
0,1,99,4,0.4991130828857422
0,1,99,4,0.4981212615966797
0,1,99,6,0.500112771987915
0,1,99,7,0.4991118907928467
0,5,99,5,1.6983838081359863
0,1,99,5,0.499112606048584
0,2,99,5,0.7981853485107422
0,2,99,6,0.8001811504364014
0,2,99,4,0.7991812229156494
0,3,99,5,1.099247694015503
0,2,99,4,0.8001809120178223
0,4,99,4,1.4003081321716309
0,8,99,4,2.600580930709839
0,5,99,6,1.6983833312988281
0,10,99,5,3.2177176475524902
0,1,99,4,0.4981234073638916
0,1,99,4,0.5001044273376465
0,4,99,6,1.4003081321716309
0,4,99,6,1.4003243446350098
0,6,99,5,2.0004518032073975
0,2,99,5,0.798180341720581
0,1,99,4,0.4991123676300049
0,8,99,5,2.6005871295928955
0,5,99,5,1.6983747482299805
0,2,99,5,0.7981882095336914
0,14,99,5,4.3999924659729
0,16,99,4,5.002127408981323
0,1,99,5,0.49712085723876953
0,9,99,4,2.8996541500091553
0,2,99,5,0.8001723289489746
0,5,99,4,1.6993839740753174
0,2,99,5,0.799180269241333
0,7,99,6,2.298518419265747
0,6,99,4,2.016455888748169
0,2,99,6,0.800180196762085
0,2,99,4,0.7981719970703125
0,8,99,3,2.5975944995880127
0,10,99,4,3.2017135620117188
0,1,99,5,0.499112606048584
0,2,99,5,0.8001730442047119
0,4,99,4,1.3993077278137207
0,1,99,5,0.5001137256622314
0,8,99,5,2.598586320877075
0,1,99,4,0.49811363220214844
0,1,99,6,0.49910449981689453
0,7,99,4,2.3005189895629883
0,1,99,7,0.5001132488250732
0,6,99,6,1.9994516372680664
0,2,99,5,0.7991805076599121
0,9,99,4,2.8986542224884033
0.0,4.45,99.0,4.79,1.5365551018714905
